"customer_id","first_name","last_name","email","phone","registration_date","customer_type","credit_score"
1,"User1","Test1","user1@example.com","555-01001","2022-04-10","Individual",509
2,"User2","Test2","user2@example.com","555-01002","2021-08-29","Premium",556
3,"User3","Test3","user3@example.com","555-01003","2020-09-12","Premium",683
4,"User4","Test4","user4@example.com","555-01004","2022-07-14","Business",536
5,"User5","Test5","user5@example.com","555-01005","2022-03-29","Premium",577
6,"User6","Test6","user6@example.com","555-01006","2020-12-18","Individual",569
7,"User7","Test7","user7@example.com","555-01007","2021-11-24","Individual",828
8,"User8","Test8","user8@example.com","555-01008","2020-07-14","Premium",811
9,"User9","Test9","user9@example.com","555-01009","2020-05-02","Individual",718
10,"User10","Test10","user10@example.com","555-01010","2020-05-15","Premium",697
11,"User11","Test11","user11@example.com","555-01011","2020-02-09","Individual",797
12,"User12","Test12","user12@example.com","555-01012","2020-11-24","Premium",817
13,"User13","Test13","user13@example.com","555-01013","2020-11-02","Individual",831
14,"User14","Test14","user14@example.com","555-01014","2020-06-02","Business",713
15,"User15","Test15","user15@example.com","555-01015","2022-06-05","Business",533
16,"User16","Test16","user16@example.com","555-01016","2020-07-29","Premium",636
17,"User17","Test17","user17@example.com","555-01017","2021-10-13","Individual",548
18,"User18","Test18","user18@example.com","555-01018","2021-11-07","Individual",745
19,"User19","Test19","user19@example.com","555-01019","2022-04-15","Business",637
20,"User20","Test20","user20@example.com","555-01020","2021-10-17","Premium",520
21,"User21","Test21","user21@example.com","555-01021","2022-05-29","Premium",593
22,"User22","Test22","user22@example.com","555-01022","2021-02-09","Individual",606
23,"User23","Test23","user23@example.com","555-01023","2022-12-21","Individual",785
24,"User24","Test24","user24@example.com","555-01024","2020-06-28","Business",731
25,"User25","Test25","user25@example.com","555-01025","2022-12-16","Business",706
26,"User26","Test26","user26@example.com","555-01026","2021-06-18","Business",556
27,"User27","Test27","user27@example.com","555-01027","2021-12-17","Individual",780
28,"User28","Test28","user28@example.com","555-01028","2020-09-01","Business",848
29,"User29","Test29","user29@example.com","555-01029","2022-03-16","Premium",649
30,"User30","Test30","user30@example.com","555-01030","2021-07-27","Business",773
31,"User31","Test31","user31@example.com","555-01031","2020-08-25","Individual",515
32,"User32","Test32","user32@example.com","555-01032","2022-07-22","Premium",803
33,"User33","Test33","user33@example.com","555-01033","2020-04-09","Individual",767
34,"User34","Test34","user34@example.com","555-01034","2021-11-06","Individual",556
35,"User35","Test35","user35@example.com","555-01035","2021-01-30","Premium",744
36,"User36","Test36","user36@example.com","555-01036","2020-09-04","Business",625
37,"User37","Test37","user37@example.com","555-01037","2021-12-04","Premium",578
38,"User38","Test38","user38@example.com","555-01038","2021-08-14","Premium",509
39,"User39","Test39","user39@example.com","555-01039","2020-02-12","Premium",691
40,"User40","Test40","user40@example.com","555-01040","2021-12-19","Premium",569
41,"User41","Test41","user41@example.com","555-01041","2020-02-12","Premium",729
42,"User42","Test42","user42@example.com","555-01042","2021-04-26","Individual",809
43,"User43","Test43","user43@example.com","555-01043","2022-04-25","Business",837
44,"User44","Test44","user44@example.com","555-01044","2021-02-22","Premium",767
45,"User45","Test45","user45@example.com","555-01045","2020-01-12","Premium",760
46,"User46","Test46","user46@example.com","555-01046","2021-05-23","Business",670
47,"User47","Test47","user47@example.com","555-01047","2022-12-04","Individual",700
48,"User48","Test48","user48@example.com","555-01048","2020-07-09","Individual",738
49,"User49","Test49","user49@example.com","555-01049","2022-01-09","Business",557
50,"User50","Test50","user50@example.com","555-01050","2021-11-08","Business",550
51,"User51","Test51","user51@example.com","555-01051","2022-04-27","Premium",580
52,"User52","Test52","user52@example.com","555-01052","2021-08-28","Individual",709
53,"User53","Test53","user53@example.com","555-01053","2021-02-16","Business",752
54,"User54","Test54","user54@example.com","555-01054","2022-02-14","Business",799
55,"User55","Test55","user55@example.com","555-01055","2020-06-01","Individual",551
56,"User56","Test56","user56@example.com","555-01056","2020-12-02","Business",715
57,"User57","Test57","user57@example.com","555-01057","2022-03-21","Premium",709
58,"User58","Test58","user58@example.com","555-01058","2022-03-06","Individual",746
59,"User59","Test59","user59@example.com","555-01059","2020-02-16","Individual",620
60,"User60","Test60","user60@example.com","555-01060","2021-06-06","Business",592
61,"User61","Test61","user61@example.com","555-01061","2022-11-09","Individual",703
62,"User62","Test62","user62@example.com","555-01062","2021-08-03","Premium",814
63,"User63","Test63","user63@example.com","555-01063","2021-03-21","Business",828
64,"User64","Test64","user64@example.com","555-01064","2022-02-06","Business",756
65,"User65","Test65","user65@example.com","555-01065","2021-10-22","Premium",600
66,"User66","Test66","user66@example.com","555-01066","2020-11-12","Business",605
